Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Deflection,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-18 Rutgers vs American,2586.384,8.0,American Shots,33,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,2719.827,8.0,American Shots,34,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Left Wing 3,Pullup,,,,,,,,
2025-11-18 Rutgers vs American,2863.592,8.0,American Shots,35,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Wide Open,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,2885.996,8.0,American Shots,36,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,3019.682,8.0,American Shots,37,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,10-6,,Blocked,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,3171.807,8.0,American Shots,38,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,3310.201,8.0,American Shots,39,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,5-0,,Lightly Contested,Left Wing 3,Pullup,,,,,,,,
2025-11-18 Rutgers vs American,3533.97,8.0,American Shots,40,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,10-6,,Wide Open,Close Shot Right,Layup,,,,,,,,
2025-11-18 Rutgers vs American,3589.969,8.0,American Shots,41,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#3 Dean Hogans,,,,21-11,,Lightly Contested,Rim,Floater,,,,,,,,
2025-11-18 Rutgers vs American,3814.305,8.0,American Shots,42,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-18 Rutgers vs American,3844.464,8.0,American Shots,43,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,3850.765,8.0,American Shots,44,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,10-6,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,3876.513,8.0,American Shots,45,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,3897.017,8.0,American Shots,46,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,3934.977,8.0,American Shots,47,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,4353.468,8.0,American Shots,48,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Close Shot Right,Hook,,,,,,,,
2025-11-18 Rutgers vs American,4429.504,8.0,American Shots,49,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
