Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-10 American vs Holy Cross,3561.411,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,3815.792,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,5-0,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,3884.493,8.0,American Shots,39,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Wing 3,Pullup,,,,,,,,
2026-01-10 American vs Holy Cross,4009.312,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Close Shot Middle,Hook,,,,,,,,
2026-01-10 American vs Holy Cross,4102.06,8.0,American Shots,41,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,4413.686,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,4454.986,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Top of Key 2,Fadeaway,,,,,,,,
2026-01-10 American vs Holy Cross,4656.167,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,5-0,,Highly Contested,Close Shot Middle,Hook,,,,,,,,
2026-01-10 American vs Holy Cross,4721.402,8.0,American Shots,45,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,4753.525,8.0,American Shots,46,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
